brand,perfume,launch_year,main_accords,notes
Avon,Contrast Holiday,1993,floral,floral notes
Est e Lauder,Intuition,2000,"citrus, floral, amber, fresh spicy, white floral","gardenia, freesia, rhododendron, rose, amber, woody notes, mandarin orange, grapefruit, bergamot, orange, green notes"
Severnoye Siyanie,Opal Zolotistiy,1990,"rose, white floral, tuberose, green, powdery","rose, tuberose, green notes, white lily, powdery notes"
Donna Karan,DKNY Delicious Candy Apples Sweet Strawberry,2011,"sweet, fruity, white floral, citrus, powdery, musky","jasmine, red apple, peony, cotton candy, musk, sandalwood, bergamot, big strawberry, african orange flower"
Fresh,Memoirs of a Geisha,2005,"citrus, powdery, woody, fruity, white floral","musk, iris, jasmine, sandalwood, bergamot, kumquat, mandarin orange, rose, peach"
Novaya Zarya,Goluboy Larets,0,"citrus, floral, green, white floral, soapy, fresh spicy","jasmine, sweet orange, lily-of-the-valley"
Ulric de Varens,Candy Dream,2013,"sweet, vanilla, balsamic, aromatic, fresh spicy, powdery","raspberry, sandalwood, tonka bean, vanilla, nutmeg"
Atelier Flou,Eau d Aviateur,0,"citrus, green, fresh spicy, fresh, musky, ozonic","violet leaf, flowers, petitgrain, tea, musk, civet, sandalwood, citruses, orange, bergamot"
Sephora,Mysterieuse Vanille Patchouli,2007,"patchouli, vanilla, warm spicy, earthy, cinnamon","patchouli, cinnamon, vanille"
Lucky Brand,Lucky You for Men,2000,"woody, green, warm spicy, fresh, balsamic, floral","cardamom, sandalwood, musk, bamboo, teak wood, brazilian rosewood, grass, floral notes"
Cerruti,Cerruti En Fleurs,2008,"fruity, white floral, fresh spicy, citrus, sour","mandarin orange, cranberry, jasmine, geranium"
Jean Paul Gaultier,Classique Love Actually,2011,"sweet, powdery, floral, yellow floral, woody","iris, ginger, plum, orchid, ylang-ylang, amber, musk, vanilla, orange blossom, mandarin orange, star anise, pear, rose"
Cartier,So Pretty Eau Fruitee,2000,"citrus, floral, rose, powdery, white floral","jasmine, iris, rose, orchid, musk, mandarin orange, bergamot, neroli"
Chanel,Beige Eau de Parfum,2016,"floral, honey, fresh spicy, sweet, white floral","hawthorn, honey, freesia, frangipani"
Antonio Fusco,Uomo,2005,"aromatic, fresh spicy, floral, citrus, green","bitter orange, lime, bergamot, freesia, lemon, mint, rosemary, black currant, jasmine, rose, fig leaf, geranium, amber, orange blossom, violet, lavender, cinnamon, musk"
Rasasi,Hope Men,0,"citrus, marine, green, fresh, floral, aromatic","green notes, citruses, floral notes, sea water, woodsy notes"
Annick Goutal,Mandragore Pourpre,2009,"fresh spicy, aromatic, citrus, soft spicy, floral, balsamic","amber, rosemary, geranium, pepper, patchouli, myrhh, incense, heliotrope, bergamot, mint, star anise"
Parfums Codibel,Rosas Frescas,1983,"white floral, rose, musky, citrus, narcotic","jasmine, neroli, rose, musk, earthy notes"
Parfums Regine,Jimmy z,2010,"warm spicy, floral, musky, vanilla, woody","woody notes, spicy notes, vanilla, musk, floral notes"
L Erbolario,Gelsomino Indiano,2015,"white floral, yellow floral, balsamic, woody, sweet, vanilla","indian jasmine, gardenia, nutmeg, cinnamon, vanilla, tonka bean, benzoin, sandalwood, white musk, carrot seeds, bergamot, lemon, mandarin orange, tea, ylang-ylang"
Arrogance,Arrogance Pour Homme,1982,"fresh spicy, woody, earthy, aromatic, patchouli","tobacco, geranium, cedar, honey, amber, oakmoss, vetiver, patchouli, labdanum, bergamot, lavender, pepper"
Tokyo Milk Parfumarie Curiosite,Sparrow,0,"white floral, citrus, green, fresh, narcotic","citruses, neroli, green notes, gardenia"
MariaLux,Madly,2012,"tuberose, woody, balsamic, white floral, animalic","tuberose, woodsy notes, resin"
Jean Paul Gaultier,Kokorico by Night,2012,"sweet, cacao, warm spicy, green, woody","rhubarb, cacao pod, fig leaf, tonka bean, woody notes, bergamot"
X Bond,X Bond,0,"woody, citrus, floral, fresh spicy, fruity","green apple, orange, hawthorn, cedar, amber"
Demeter Fragrance,Jelly Belly Blueberry Muffin,0,"sweet, fruity, vanilla, savory, smoky, powdery","blueberry, vanille, sugar, sweet notes, popocorn"
Morph,Malaga,0,"floral, vanilla, white floral, ozonic, aquatic","violet leaf, freesia, cyclamen, white lily, vanilla"
Mandarina Duck,Pink Is In The Air,2013,"woody, fruity, sweet, green, aromatic, floral","water lily, freesia, jasmine, peach, white musk, sandalwood, vetiver, black currant, pineapple, tangerine"
Zadig Voltaire,Tome 1 La Purete for Her Collector,2012,"white floral, almond, sweet, woody, floral","almond milk, jasmine, tonka bean, guaiac wood, white musk, orange blossom, peony, bergamot"
Battistoni,Le Gemme Zaffiro,0,"citrus, aromatic, woody, fresh spicy, musky, marine","rosemary, sea notes, eucalyptus, lotus, white musk, cedar, orange, bergamot, lemon"
Velvet Sweet Pea s Purrfumery,Rose Jasmine,0,"rose, white floral, vanilla, powdery, animalic, sweet","rose, jasmine, tahitian vanilla"
Caron,Bellodgia,1927,"warm spicy, floral, powdery, rose, woody","jasmine, lily-of-the-valley, violet, musk, clove, vanille, sandalwood, carnation, rose"
Durance en Provence,L Ome Sea Buckthorn,2006,"woody, aromatic, fresh spicy, citrus, herbal","fern, lavender, sandalwood, petitgrain, cedar, bergamot, artemisia, lemon"
Sinfonia di Note,Amande Sucree,0,"almond, vanilla, amber, woody, nutty","jasmine, bergamot, floral notes, almond, woodsy notes, sandalwood, vanille, amber"
Parfums Codibel,Magic Black Woman,0,nan,nan
Atkinsons,The Excelsior Bouquet,2015,"aromatic, woody, warm spicy, herbal, green, soft spicy","spices, leather, vetiver, sage, flint"
Dana,French Vanilla,1994,"vanilla, floral, citrus, woody, balsamic","citruses, floral notes, woodsy notes, resin, vanille"
Sabon,Zer Rose,0,"powdery, woody, floral, rose, musky","rose, fruity notes, musk, iris, sandalwood, violet"
Esteban,Oriental Flower,2008,"white floral, tuberose, citrus, woody, aldehydic, vanilla","lavender, tuberose, orange blossom, cedar, vanilla, mandarin orange, aldehydes"
Victoria s Secret,With a Kiss,2011,"floral, fruity, aquatic, sweet, fresh","magnolia, red berries"
Kylie Minogue,Dazzling Darling,2011,"powdery, floral, woody, musky, fruity, rose","rose, passion flower, orris root, musk, sandalwood, cashmere wood, violet, pink pepper, blueberry"
Versace,Versus,2010,"citrus, musky, white floral, aromatic, fruity","african orange flower, tincture of rose, stephanotis, musk, patchouli, ambrette (musk mallow), amalfi lemon, kumquat, star apple"
Calvin Klein,Eternity for Men Summer 2011,2011,"green, citrus, aromatic, woody, fresh spicy","galbanum, star anise, lily-of-the-valley, patchouli, virginia cedar, amber, citruses, mint, coriander"
Cartier,Baiser Vole Lys Rose,2014,"white floral, sweet, fruity, soft spicy, animalic, woody","lily, raspberry"
Lolita Lempicka,Elle L aime,2013,"citrus, coconut, sweet, vanilla, woody, tropical","coconut, ylang-ylang, jasmine, myrrh, sandalwood, vanilla, bergamot, neroli, lime"
Novaya Zarya,Zolotaya Moskva,0,"citrus, white floral, woody, aromatic, warm spicy","rose, jasmine, carnation, lily, sandalwood, musk, amber, bergamot, mandarin orange, coriander"
Faberlic,Fruity Story,2009,"fruity, tropical, sweet, aquatic, fresh","water notes, green notes, floral notes, peach, raspberry, melon, mango, litchi"
Caswell Massey,Pure Frost,2012,"white floral, vanilla, citrus, fresh spicy, powdery, animalic","casablanca lily, jasmine, vanilla, bergamot"
Parera,Andros,0,"aquatic, fresh, watery",watery notes
Chanel,Les Exclusifs de Chanel Misia,2015,"powdery, floral, woody, sweet, rose","turkish rose, grasse rose, raspberry, peach, violet, orris, iris, benzoin, tonka bean, powdery notes, mimosa, vanilla, aldehydes, litchi"
Jeanne Arthes,Lover,2010,"fruity, sweet, woody, floral, tropical","jasmine, honeysuckle, black currant, plum, raspberry, apricot, virginia cedar, mahogany, amber, mandarin orange, freesia, passionfruit"
Etienne Aigner,Aigner White Woman,2008,"fruity, floral, powdery, fresh spicy, woody, fresh","jasmine, tiare flower, water lily, violet, black currant, amber, leather, musk, cedar, mandarin orange, pepper, green apple"
Guy Laroche,Drakkar Dynamik,1999,"balsamic, woody, amber, green, warm spicy, citrus","green notes, virginia cedar, sandalwood, amber, benzoin, grapefruit, pink pepper, granny smith apple"
Kenneth Cole,Kenneth Cole New York Women,2002,"white floral, warm spicy, fresh spicy, woody, cinnamon","mahogany, leather, lily, gardenia, pepper, jasmine, nutmeg, musk, vanilla, oakmoss, black currant, cinnamon, mandarin orange, cardamom"
Halston,Halston Night,1980,"woody, tuberose, rose, green, earthy","rose, tuberose, amber, moss, woody notes, green notes, peach"
Tauerville,Incense Flash,2015,"balsamic, smoky, leather, woody, warm spicy","incense, leather, woody notes, musk"
Adidas,Adidas Fresh Vibes,2004,"marine, ozonic, aquatic, aromatic, citrus","freesia, orange blossom, sea notes, raspberry, musk, mandarin orange, melon, cucumber"
Rance 1795,Eleonore,2016,"balsamic, warm spicy, smoky, powdery, woody, patchouli","tahitian vanilla, saffron, patchouli, sandalwood, incense, amber, tonka bean, musk, sicilian lemon, hedione, peach, myrhh"
April Aromatics,Liquid Dreams,2012,"citrus, floral, fresh, fruity, yellow floral","citruses, narcissus, osmanthus, lime (linden blossom)"
Strenesse,Magnolia Cassis,2012,"fruity, woody, floral, citrus, white floral","jasmine, magnolia, water lily, sandalwood, cedar, musk, bergamot, black currant, white peach"
Mad et Len,Eau De Fleur d Oranger,2010,"white floral, citrus, sweet, soapy, floral",african orange flower
Police,Police Pure New York Woman,2011,"sweet, fruity, vanilla, powdery, floral","mimosa, apple blossom, lotus, musk, virginia cedar, vanille, cotton candy, bergamot, cassis, pineapple"
George Kordahi,Felin,0,"woody, amber, warm spicy, balsamic, animalic","rose, jasmine, saffron, patchouli, white amber, ambergris, woody notes, sandalwood, white musk, bergamot, citruses"
Cartier,Le Baiser Du Dragon,2003,"almond, woody, fruity, sweet, warm spicy, balsamic","iris, musk, jasmine, cedar, rose, amber, patchouli, benzoin, dark chocolate, caramel, vetiver, cedar, gardenia, bitter almond, amaretto, neroli"
Clash,Magnet,2015,"powdery, floral, citrus, woody, white floral, musky","violet, peach, floral notes, sandalwood, musk, vanilla, mandarin orange, orange blossom"
Emanuel Ungaro,Ungaro Love Kiss,2012,"floral, fruity, rose, sweet, citrus, tropical","rose, freesia, orchid, frangipani, sandalwood, white musk, carambola (star fruit), pineapple, sicilian lemon"
Olivina Napa Valley,Morning Glory,2015,nan,nan
Ava Luxe,Incense,0,"balsamic, smoky, aromatic, woody, herbal, musky","myrrh, labdanum, sandalwood, cedar, musk, peru balsam, bergamot, chamomile, elemi, olibanum, copal"
Christian Dior,Gris Montaigne,2013,"woody, rose, earthy, patchouli, balsamic, citrus","bergamot, rose, patchouli, amber, cedar, sandalwood, oakmoss"
C O Bigelow,Freshwater Lavender,2016,"powdery, aromatic, balsamic, floral, woody, earthy","violet, lavender, amberwood, tolu balsam, patchouli, oakmoss, sea notes, limoncello, melon"
Mauboussin,Mauboussin Topaze,2002,"amber, citrus, fresh spicy, animalic, leather","nutmeg, pepper, cardamom, leather, amber, musk, labdanum, bergamot, mandarin orange"
Leeming Pacquin,Skinny Dip,1970,"citrus, white floral, fresh, aldehydic, musky, fruity","white musk, woodsy notes, white flowers, citruses, aldehydes, fruity notes, ozonic notes, lemon"
Coty,Crossmen St Andrews,2002,"woody, citrus, aromatic, green, earthy","citruses, vetiver"
East Nights,Wisal,0,"sweet, fruity, soft spicy, aromatic, balsamic","pink pepper, nectarine, mulberry, tonka bean"
Givenchy,L Interdit,1957,"powdery, woody, floral, balsamic, warm spicy, sweet","iris, violet, narcissus, orris root, jasmine, ylang-ylang, lily-of-the-valley, rose, sandalwood, amber, musk, benzoin, vetiver, tonka bean, aldehydes, spices, mandarin orange, peach, bergamot, strawberry"
Carlo Corinto,L Inizio Pour Homme,0,"woody, citrus, amber, powdery, aromatic, balsamic","sandalwood, sage, amber, guaiac wood, virginia cedar, vanille, bergamot, amalfi lemon"
Novae Plus,Azure Blue,2013,"fruity, woody, fresh, rose, green, white floral","rose, jasmine, palisander rosewood, amber, musk, cedar, apple"
Avon,Shine,0,"citrus, white floral, green, aromatic, sweet","orange blossom, jasmine, lemon"
Davidoff,Cool Water Night Dive Woman,2014,"woody, balsamic, citrus, white floral, patchouli","pistachio, woody notes, jasmine, mastic or lentisque, patchouli, cedar, amber, mandarin orange"
Michael Kors,White Luminous Gold,2015,"amber, white floral, animalic, fruity, sweet","jasmine, amber, pear"
O Boticario,Make B Lumina,2015,"warm spicy, balsamic, fruity, vanilla, woody","solar notes, woody notes, cinnamon, petalia, tonka bean, vanilla, benzoin, sandalowood, mandarin orange, saffron, bergamot, fruity notes, plum blossom"
Cofinluxe,Coca for Men,1976,"fresh spicy, aromatic, woody, floral, amber, earthy","star anise, sandalwood, moss, musk, ambergris, nutmeg, lavender, bergamot"
Paul Joe,Bleu,2003,"balsamic, woody, vanilla, powdery, aromatic, patchouli","rose, jasmine, heliotrope, magnolia, oakmoss, patchouli, sandalwood, myrhh, french labdanum, vanilla, musk, bergamot, coriander, caraway, ylang-ylang"
April Aromatics,Nectar of Love,2012,"white floral, tuberose, animalic, woody, rose, fruity","fruity notes, rose, tuberose, jasmine, sandalwood, amber"
Ravenscourt Apothecary,Elizabeth Bennet,2013,"citrus, green, fresh spicy, soft spicy, herbal","lemon, mandarin orange, basil, anise"
Ajmal,Muhja,0,"amber, balsamic, musky, white floral, woody","jasmine, sandalwood, ambergris, musk, labdanum"
Romea D Ameor,The Princess of Venice,2008,"fruity, white floral, sweet, woody, citrus","champaca, orange blossom, cassis, egyptian jasmine, sandalwood, raspberry, iris, mastic or lentisque, amber, musk, black currant, melon, pineapple, cloves, brazilian orange, grapefruit"
Tory Burch,Jolie Fleur Rose,2015,"rose, musky, green, powdery, floral, woody","rose, tea rose, cashmeran, musk, pink pepper, green notes, strawberry leaf, violet, white amber, sandalwood"
Demeter Fragrance,Sweet Orange,0,"citrus, fresh spicy, terpenic, conifer, aldehydic, sweet",orange
Avon,Avon Essence,0,"aromatic, citrus, herbal, fresh spicy, warm spicy, floral","sage, yuzu, cashmere wood, ambergris, lavender, cardamom"
Cristiano Fissore,Rapsodia in Blu,2007,"citrus, aromatic, fresh spicy, woody, green","rosemary, jasmine, petitgrain, lily-of-the-valley, cedar, bergamot, white musk, lemon"
Black Phoenix Alchemy Lab,Vicomte de Valmont,0,"aromatic, fresh spicy, musky, white floral, green","amber, white musk, white sandalwood, mint, orange blossom, jasmine, rose, geranium, rosemary"
Dr Nicholas Perricone,Neuropeptide Synergy,2008,nan,nan
Lolita Lempicka,Caprice Amarena,2007,"almond, nutty, fruity, musky, sweet","almond, white musk"
West Third Brand,Violetta Novella,0,"powdery, floral, white floral, woody, green, ozonic","violet, iris, narcissus, lily, cucumber"
Zara,Zara Man,2000,"woody, aromatic, citrus, fresh spicy, musky","nutmeg, cardamom, pepper, vetiver, musk, sandalwood, virginia cedar, neroli, sage, bergamot"
Christian Dior,Dior Me Dior Me Not,2004,"floral, fresh, aquatic, sweet, white floral, cherry","peony, violet, freesia, musk, cherry, water notes, sweet pea"
Royal Apothic,Cutting Garden,2010,"white floral, tuberose, animalic, rose, powdery, floral","iris, jasmine, gardenia, tuberose, rose, lily"
Comptoir Sud Pacifique,Eau des Lagons,2008,"floral, citrus, woody, green, salty","lotus, peony, cyclamen, salt, amber, musk, driftwood, lime, cactus"
Olivier Durbano,Black Tourmaline,0,"woody, balsamic, fresh spicy, smoky, warm spicy, aromatic","agarwood (oud), leather, woodsy notes, musk, amber, oakmoss, patchouli, cardamom, coriander, caraway, olibanum, pepper"
Opus Oils,Island Girl Mantra Bali,0,"white floral, oud, citrus, sweet, vanilla","agarwood (oud), frangipani, african orange flower, vanilla, white honey"
Loewe,Solo Loewe Sport Edicion Especial,2016,"fresh spicy, aromatic, warm spicy, woody, earthy, citrus","rosemary, lavender, cardamom, patchouli, amber, moss, musk, pepper, mandarin orange, melon"
Avon,In Bloom by Reese Witherspoon,2009,"white floral, green, fruity, floral, ozonic","gardenia, magnolia, jasmine, mimosa, cashmere wood, amber, poplar (populus) buds, peach, green notes, white tea"
Emilio Pucci,Acqua 330,2009,"marine, aromatic, white floral, ozonic, musky, salty","jasmine, frangipani, musk, violet leaf, sea water"
Arabesque Perfumes,Malikah,0,"sweet, fruity, vanilla, yellow floral, caramel","tropical fruits, spicy notes, musk, pomegranate, vanilla, barberry, caramel"
Herve Gambs Paris,Domaine du Cap,2015,"soft spicy, fresh spicy, fresh, herbal, green, aromatic","basil, thyme, lemon, fennel"
Carolina Herrera,CH Africa,2015,"powdery, smoky, floral, citrus, warm spicy","cinnamon, iris, rooibos tea, incense, vanilla, orange, violet"
Eau Jeune,Bleu Azur,2008,"fruity, woody, amber, sweet, animalic, white floral","hibiscus, jasmine, amber, cedar, red apple, bergamot"
Oriza L Legrand,Relique D Amour,2012,"woody, balsamic, aromatic, white floral, smoky, green","powdery notes, lily, pepper, oak, incense, myrrh, elemi, musk, moss, woody notes, pepper, herbal notes, pine"
Fred Segal,08 Exotic Rose,2015,"citrus, rose, woody, powdery, fruity, warm spicy","mandarin orange, apricot, violet, moroccan rose, atlas cedar, patchouli, saffron, teak wood, amber"
Welton London,Bel Iris,0,"woody, powdery, floral, warm spicy, rose","iris, cedar, rose, jasmine, cloves, patchouli, sandalwood, vanilla, musk, marigold"
Ramon Monegal,Ambra di Luna,2009,"amber, woody, leather, balsamic, smoky","amber, labdanum, egyptian jasmine, castoreum, sandalwood, vanilla"
Blue Q,Cute As Hell,0,"powdery, floral, ozonic, aquatic, woody","violet, melon"
10th Avenue Karl Antony,Blue Stone,2012,"fresh spicy, citrus, aromatic, woody, balsamic, amber","anise, cinnamon, pepper, artemisia, lavender, geranium, amber, patchouli, sandalwood, labdanum, vetiver, musk, bergamot, mandarin orange, grapefruit"
Le Chameau,Primero,0,"balsamic, woody, warm spicy, musky, aromatic","olibanum, basil, patchouli, sandalwood, labdanum, oakmoss, musk, green apple, cardamom, basil, coriander"
The Crown Perfumery Co,Marquis,0,"aromatic, fresh spicy, green, citrus, woody","juniper berries, coriander, lavender, clary sage, angelica, rosemary, precious woods, amber, oakmoss, neroli, galbanum, bergamot, lemon, lime, basil, artemisia, mint"
Franck Olivier,Oud Touch,2014,"balsamic, sweet, caramel, smoky, amber","violet, patchouli, rose, jasmine, olibanum, amber, musk, vanilla, orange, raspberry, caramel"
Avon,Pur Blanca Blush,2008,"floral, fresh, fruity, rose, sweet","rose, lilac, peony, carnation, water lily, cedar, dried fruits, musk, bergamot, ivy, red currant"
Des Filles a la Vanille,Patchouli Mon Bijou,0,"white floral, animalic, amber, patchouli, tuberose","patchouli, lily, tuberose, jasmine, amber"
Maurer Wirtz,4711 Acqua Colonia Melissa Verbena,2009,"citrus, fresh spicy, herbal, aromatic, sweet","lemon verbena, lemon balm"
Phebo,Agua de Lavanda,2008,"aromatic, fresh spicy, herbal, floral, woody","sage, rose, geranium, lavender, musk, woody notes, patchouli, aspic, rosemary, lavender"
Banana Republic,Slate Eau Fraiche,2011,"aquatic, citrus, marine, aromatic, woody, green","coriander, yuzu, cucumber, sea water, seaweed, woodsy notes, oak moss, water lily"
Boadicea the Victorious,Noble,2008,"amber, rose, animalic, balsamic, powdery","amber, tincture of rose"
Marc Jacobs,Marc Jacobs Splash Cotton,2006,"floral, powdery, woody, citrus, fresh, musky","lavender, cotton flower, lily-of-the-valley, white suede, sandalwood, musk, white woods, orange, mandarin orange, white peach, bergamot"
Aramis,New West for Her,1990,"ozonic, aquatic, woody, green, aromatic, fruity","cyclamen, carnation, lily, mint, galbanum, jasmine, hiacynth, rose, pine tree needles, leather, amber, musk, oakmoss, cedar, plum, violet, peach, bergamot, watermelon"
Loewe,Quizas Loewe Sport Edicion Especial,2016,"citrus, white floral, woody, aromatic, green","jasmine sambac, black currant, rose, patchouli, vetiver, amber, musk, neroli, petitgrain, mandarin orange, orange, grapefruit"
Ramakrishnananda,Padma,0,"warm spicy, rose, floral, white floral, aquatic","jasmine, lotus, cloves, rose"
Yves de Sistelle,Tender Rose,0,"rose, woody, earthy, soft spicy, amber, patchouli","rose, jasmine, cedar, amber, patchouli, vetiver, pink pepper, peony"
Emilio Pucci,Verde 072,2011,"green, aromatic, citrus, fresh spicy, woody","neroli, rose, virginia cedar, tonka bean, bergamot, mint, green leaves"
Cartier,Delices De Cartier Eau de Parfum,2008,"cherry, sweet, balsamic, powdery, aromatic, floral","jasmine, freesia, violet, musk, sandalwood, amber, tonka bean, bergamot, pink pepper, cherry"
Serge Lutens,Fleurs de Citronnier,2004,"white floral, citrus, musky, honey, floral, fresh spicy","neroli, tuberose, honey, musk, iris, styrax, lemon blossom, petitgrain, nutmeg"
Lolita Lempicka,Fleur de Corail,2008,"citrus, white floral, amber, woody, floral, musky","orchid, frangipani, amber, musk, driftwood, grapefruit, bergamot"
Molinard,Molinard Homme I,1996,"aromatic, woody, fresh spicy, earthy, green","virginian cedar, guaiac wood, mint, patchouli, oakmoss, vetiver, lavender, pelargonium, cloves, myrrh, myrtle"
Santa Maria Novella,Alba di Seoul,2012,"woody, green, aromatic, warm spicy, balsamic","pine tree, woody notes, oriental notes, green notes"
Ralph Lauren,Polo Double Black,2006,"fresh spicy, warm spicy, tropical, coffee, woody, fruity","indonesian nutmeg, roasted coffee beans, juniper berries, woodsy notes, cardamom, pepper, mango"
Diana De Silva,Genny Shine,0,"fruity, floral, sweet, tropical, fresh","freesia, lily-of-the-valley, jasmine, rose, peony, cedar, amber, musk, passionfruit, peach, pineapple, bergamot"
Fruits Passion,Rose,0,"rose, floral, green, woody, musky","rose, musk, sandalwood, hyacinth, galbanum"
O Boticario,Connexion,0,"warm spicy, patchouli, earthy, citrus, fresh spicy","amber, geranium, spices, caraway, tarragon, oakmoss, patchouli, tangerine, bergamot"
Roberto Capucci,L Atelier de Capucci pour Elle,0,"woody, musky, citrus, fruity, powdery, aromatic","iris, neroli, tuberose, cashmere wood, musk, vanilla, cassis, grapefruit, rhubarb"
Bronnley,English Fern,0,"woody, aromatic, fresh spicy, patchouli, balsamic, warm spicy","lavender, patchouli, rosemary, sandalwood, oak moss, virginia cedar, amalfi lemon, palisander rosewood"
Nabeel,Wadeema,0,"woody, aromatic, fresh spicy, oud, warm spicy, balsamic","lily-of-the-valley, madagascar ylang-ylang, grasse rose, jasmine, sandalwood, cypriol oil or nagarmotha, copahu balm, white musk, rose oil, agarwood (oud), patchouli, lemon, cloves, cypress, tagetes, saffron, rosemary"
A Wing A Prayer Perfumes,Orange County,2008,"vanilla, citrus, powdery, sweet, fresh spicy, terpenic","orange, vanilla"
Shirley May,Royal Cobra,0,"warm spicy, musky, vanilla, powdery, sweet","spicy notes, vanilla, musk"
Florascent,Eau d Iris,2016,"woody, white floral, citrus, powdery, floral","cabreuva, violet, jasmine, iris, cedar, boronia, neroli, bergamot, citron"
Jeroboam,Miksado,2015,"woody, musky, vanilla, warm spicy, balsamic, amber","cedar, guaiac wood, geranium, patchouli, vanilla, white musk, bergamot, labdanum, saffron"
TOPModel,Let s Dance,2013,"musky, white floral, fruity, sweet, powdery, animalic","jasmine, musk, peach"
Joan Collins,I Am Woman,2014,"citrus, woody, white floral, green, amber, powdery","jasmine, rose, orange blossom, green notes, moss, musk, amber, vanilla, cedar, sandalwood, patchouli, citruses, lemon, orange, mandarin orange, bergamot, peach"
Disney,Star Wars Rey,2016,"sweet, fruity, white floral, caramel, citrus, fresh","honeysuckle, gardenia, jasmine, caramel, praline, musk, amber, sandalwood, mandarin orange, lemon, red berries, cassis"
Des Filles a la Vanille,Mon Coeur n Appartient Qu a Toi,0,"white floral, citrus, woody, vanilla, musky","jasmine, musk, vanilla, woody notes, lemon, grapefruit"
Heretic Parfums,Amulet,2016,"green, fresh spicy, aromatic, woody, herbal","basil, vetiver, black tea, geranium, mint, cedar"
Puma,Jamaica Man,2004,"aromatic, vanilla, woody, citrus, powdery","galbanum, jasmine, rose, geranium, sandalwood, vanilla, caraway, sage, lemon"
Spirit,Spirit of Man Classic,2011,"woody, musky, fruity, amber, citrus, rose","cinnamon, jasmine, rose, apricot, amber, cedar, cashmere wood, white musk, lemon, green apple"
Shiseido,Zen Gold Elixir,2013,"patchouli, floral, white floral, warm spicy, amber","jasmine, magnolia, blue rose, amber, vanilla, patchouli, cedar, white musk, grapefruit, bergamot, peach, pineapple"
SWITCH Perfumes,1,2015,"floral, balsamic, aromatic, woody, sweet","elemi, mango blossom, hyssop, rosemary, mimosa, lavender, incense, lime (linden) blossom, tuberose, frangipani, ylang-ylang, rose de mai, osmanthus, melilotus, sandalwood, hoya carnosa, wax plant, oakmoss, labdanum"
Yves Saint Laurent,Paris,1983,"floral, powdery, rose, woody, green","lily, violet, orris root, jasmine, ylang-ylang, lily-of-the-valley, lime blossom, rose, iris, sandalwood, amber, musk, oakmoss, heliotrope, cedar, mimosa, orange blossom, green notes, rose, cassia, hawthorn, hiacynth, bergamot, nasturcia, geranium"
Dorin,Un Air d Amour Pour Monsieur,2010,"woody, balsamic, powdery, aromatic, fresh spicy","sandalwood, virginia cedar, orris root, musk, tonka bean, vanille, lavender, nutmeg, incense"
Tocca,Simone,2014,"ozonic, aquatic, fruity, green, floral, fresh","frangipani, ylang-ylang, rose, freesia, woody notes, musk, amber, apple, watermelon, lemon"
La Fleur by Livvy,Fleur d Innocence,2013,"vanilla, citrus, floral, powdery, sweet","vanilla, orange, floral notes"
Krigler,Extraordinaire Camelia 209,2009,"floral, powdery, musky, green, vanilla","musk, virginia cedar, cardamom, vanille, pink pepper, tea, camelia, lemon"
Scent by Alexis,Pretty Things,2007,"fruity, sweet, citrus, almond, vanilla","almond, milk, vine, vanilla, neroli, fig, berry fruits, citruses"
Maison Incens,Coeur de Musc,2016,"amber, animalic, musky, honey, sweet","amber, ambergris, musk, animal notes, honey"
Zara,From Zara With Love Summer Edition,2015,"citrus, fruity, aromatic, green, fresh, woody","jasmine, rose, woody notes, cedar, cassis, mandarin orange, pomelo"
Arrogance,Arrogance Man,2003,"woody, powdery, warm spicy, floral, balsamic","iris, may rose, violet, cedar, amber, sandalwood, tonka bean, patchouli, musk, lime, ginger, green leaves, pimento, bergamot"
Vince Camuto,Vince Camuto Eterno,2016,"fresh spicy, warm spicy, green, citrus, woody, patchouli","saffron, bourbon pepper, patchouli, cedar, citruses, mint"
Jennifer Lopez,JLuxe,2015,"amber, sweet, woody, powdery, fruity","violet, damask rose, orris, ylang-ylang, amber, cedar, musk, bergamot, raspberry, pineapple"
Maitre Parfumeur et Gantier,Vocalise Extravagante,2011,"woody, fruity, musky, amber, yellow floral, sweet","jasmine, ylang-ylang, angelica, rose, woodsy notes, vanille, sandalwood, musk, amber, black currant, red berries"
New York Yankees,New York Yankees for Her,2012,"fruity, powdery, sweet, vanilla, white floral","strawberry leaf, tiare flower, musk, sandalwood, vanilla, plum, apricot, guava"
Joey Essex,Fusey,2013,"citrus, aromatic, marine, woody, musky, amber","sea notes, sandalwood, musk, amber, bergamot, lemon, grapefruit"
Kenzo,Eau de Fleur de Yuzu,2010,"citrus, floral, green, fresh spicy, sweet, fresh","yuzu, floral notes, fruity notes, musk, green notes, grapefruit, citruses"
Eudora,Brisas Del rios de Rosas,2012,"rose, floral, citrus",rose
Vespa,Vespa Sensazione for Her,2015,"fruity, aquatic, sweet, vanilla, fresh","water lily, cinnamon, sea notes, peach, vanilla, sandalwood, lime, litchi, pear"
Halle Berry,Halle Pure Orchid,2010,"sweet, floral, fruity, aromatic, balsamic","star anise, orchid, blackberry, patchouli, tonka bean, sequoia, amalfi lemon, papaya, cactus"
Omnia Profumi,Opale,2006,"marine, aromatic, floral, vanilla, fresh spicy, sweet","geranium, seagrass, musk, patchouli, cedar, vanilla, tonka bean, jasmine, hawthorn, lilac"
